,Equipe,PDV,Taille,Poids,Unit,Exp,Pays
Cedi Osman,CLE,F,2.01,104.3,kg,4,Turquie
Kelly OubreJr.,CHA,F-G,1.98,92.1,kg,6,États-Unis
Kevin Pangos,CLE,G,1.85,81.2,kg,0,Canada
Jabari Parker,BOS,F,2.01,111.1,kg,7,États-Unis
Eric Paschall,UTA,F,1.98,115.7,kg,2,États-Unis
Chris Paul,PHX,G,1.83,79.4,kg,16,États-Unis
Cameron Payne,PHX,G,1.85,83.0,kg,6,États-Unis
Elfrid Payton,PHX,G,1.90,88.5,kg,7,États-Unis
Gary PaytonII,GSW,G,1.90,88.5,kg,5,États-Unis
Jamorko Pickett,DET,F,2.06,93.4,kg,0,États-Unis
Mason Plumlee,CHA,F-C,2.11,115.2,kg,8,États-Unis
Jakob Poeltl,SAS,C,2.16,111.1,kg,5,Austria
Aleksej Pokusevski,OKC,F,2.13,86.2,kg,1,Serbie
Yves Pons,MEM,F,1.96,93.4,kg,0,France
Jordan Poole,GSW,G,1.93,88.0,kg,2,États-Unis
Kevin PorterJr.,HOU,G-F,1.93,92.1,kg,2,États-Unis
Michael PorterJr.,DEN,F,2.08,98.9,kg,2,États-Unis
Otto PorterJr.,GSW,F,2.03,89.8,kg,8,États-Unis
Bobby Portis,MIL,F,2.08,113.4,kg,6,États-Unis
Kristaps Porzingis,DAL,F-C,2.21,108.9,kg,5,Lettonie
Dwight Powell,DAL,F-C,2.08,108.9,kg,7,Canada
Norman Powell,POR,G,1.90,97.5,kg,6,États-Unis
Jason Preston,LAC,G,1.90,82.1,kg,0,États-Unis
Joshua Primo,SAS,G,1.93,85.7,kg,0,Canada
Taurean Prince,MIN,F,1.98,98.9,kg,5,États-Unis
Payton Pritchard,BOS,G,1.85,88.5,kg,1,États-Unis
Neemias Queta,SAC,C,2.13,112.5,kg,0,Portugal
Immanuel Quickley,NYK,G,1.90,86.2,kg,1,États-Unis
Jahmi'us Ramsey,SAC,G,1.90,86.2,kg,1,États-Unis
Julius Randle,NYK,F-C,2.03,113.4,kg,7,États-Unis
Austin Reaves,LAL,G,1.96,89.4,kg,0,États-Unis
Cam Reddish,ATL,F-G,2.03,98.4,kg,2,États-Unis
Paul Reed,PHI,F,2.06,95.3,kg,1,États-Unis
Naz Reid,MIN,C-F,2.06,119.7,kg,2,États-Unis
Nick Richards,CHA,C,2.13,111.1,kg,1,Jamaïque
Josh Richardson,BOS,G,1.96,90.7,kg,6,États-Unis
Grant Riller,PHI,G,1.85,86.2,kg,1,États-Unis
Austin Rivers,DEN,G,1.93,90.7,kg,9,États-Unis
Duncan Robinson,MIA,F,2.01,97.5,kg,3,États-Unis
Mitchell Robinson,NYK,C-F,2.13,108.9,kg,3,États-Unis
Jeremiah Robinson-Earl,OKC,F,2.03,109.8,kg,0,États-Unis
Isaiah Roby,OKC,F,2.03,104.3,kg,2,États-Unis
Rajon Rondo,LAL,G,1.85,81.6,kg,15,États-Unis
